,species,platform,wild,wild_geotagged,wild_not_geotagged,captive,unknown,total relevant
0,humpback whale , YouTube,857,0,857,2,0,859
1,whale shark , YouTube,507,0,507,36,0,543
2,iberian lynx , YouTube,142,0,142,66,0,208
3,reticulated giraffe , YouTube,74,0,74,189,0,263
4,Grevy's zebra , YouTube,32,0,32,79,0,111
5,plains zebra , YouTube,156,0,156,44,0,200
6,whale shark , Flickr,303,31,272,76,74,453
7,iberian lynx , Flickr,73,1,72,5,41,119
8,reticulated giraffe , Flickr,185,29,156,370,58,613
9,Grevy's zebra , Flickr,17,6,11,268,42,327
10,plains zebra , Flickr,1496,916,580,185,258,1939
11,humpback whale , Flickr,4531,590,3941,0,0,4531
12,humpback whale , iNaturalist,16820,16728,92,9,0,16829
13,whale shark , iNaturalist,3212,3174,38,158,0,3370
14,iberian lynx , iNaturalist,102,98,4,9,0,111
15,reticulated giraffe , iNaturalist,358,354,4,69,0,427
16,Grevy's zebra , iNaturalist,159,155,4,61,0,220
17,plains zebra , iNaturalist,9005,8859,146,1303,0,10308
