videoId,channelId,encounter_loc,user_country
rfOi6VSfxnY,UCcZ7AsxyPn7GvXGTCbMakuQ,maui,United States
G1JC6ifb9rc,UC-k1CfsXDMcOB9XOqh0Fhfg,hervey bay australia,Switzerland
41vGo7iX6IY,UCUUWDzrkuEztzddaW_sgQbA,New Jersey,United States
BrgN6O1pcZM,UCTHLKjpnAjdLQpSWqlP9l4A,"Danco Island, Antarctica",United States
UF2yZA-8Vgg,UCpIyRxik848T2KmOIiFX-bw,Ningaloo reed,Australia
-goUL-IvZFU,UClQK9j4uUAnrZamq1_FhtcQ,"Bonavista, Newfoundland",Canada
pNsvc3QsuUw,UCYs3EodFkeYFAVjd-PHQT0w,Vancouver Island,Canada
S-SiL1jn9Ho,UCYixHqQPVh0hDutTYFBBTIw,"madeira, portugal",Portugal
098O0Zu_A3E,UCg178cchFvhCClnLWSR5iAw,River Thames,United Kingdom
8TQGAxqb0tE,UCVhtkN7-c8mA8GXEoxS4YQw,San Francisco Bay,United States
I8Hs1_1WYVg,UC5ovaFtNA0Jbq7mf0vdKYjg,Southern California Coast,Ireland
hc0pn44WgYw,UCDmTfI1tCW37SVjcz3bm1qw,Hawaii,United States
Asn6Cp1b_BQ,UCNyVQi4_nYb6zf6IT9GdAzw,"Maui, Hawaii",United States
CjaB67HXaEM,UCSEkylmK2ghqS2lX5s4dN5g,Kalbarri National Park,Germany
d3Y2l6ClLNE,UCvFSBN1CT30ICVWpMiWkGuw,"Gabon, Africa",Austria
XKZAChu_0_s,UC8eRHe1F4BUV82LS3vYxwRA,Tonga,United States
6sM-9PGZuGE,UCKbRh0mMmEmggOz9vuL5U0w,Bora Bora,French Polynesia
zzQCl1UQiXk,UCLINwIDA1iwbEQY9gzpJU6Q,Turks and Caicos,United States
Gbr3HIl4MzE,UCNyVQi4_nYb6zf6IT9GdAzw,Maui,United States
VPQrWGRibMM,UCEBovYtl6ChsBw2Ur2qr2_A," El Valle, Chocó, Colombia",United Kingdom
HFXC_5Po2HM,UC3FyQYnRWVAcwJHN3wKuk-A,"Maui, Hawaii",United States
T8VitedBz0s,UC4wpA1LVqhGKp5Dv0TcVy_g,Cape Cod,United States
YcQu8gqEj4A,UCyrjbkxt4kBuVJJuqVTkylw,Mexico,United States
kYjdoSmCWEA,UCWmDljD65ZT0mz6Xtizl-og,California,United States
2me9co1LgYs,UCVnmz_8TzMvzgSeFG-kK5KQ,"Hervey Bay, Queensland, Australia",Australia
WB5dIrwgNKs,UC5cSyLO47Ds090WUB0o0wYA,Tonga,"Korea, Republic of"
WLpVbMFLH4A,UCHtq2-PexJn1fA8LlSD2yAw,Monterey Bay,United States
XGcXZ3D9vmI,UCK_JNpBwTQs_UIffijn9QAA,Australia,Australia
6FvEKV7OR3Y,UCdkkQY5Eiss3B53ujWJJuGg,monaco,Monaco
Np6V-QPtu5U,UC2UV6UwF0UKq0hRApDP04DA,alaska,Canada
dtks5-mDh8c,UCNah6GuiD2DVZkvQeOwU1Zg,San Jose del Cabo,Mexico
QGkpxxxN7zs,UCiJOjbmo2HJoOqiZZBDRT6w,new caledonia,France
GRGkgSZgINs,UC88VyGjS_IClVjkHRC-OAvw,iceland,United States
Z2ONc7j8AGk,UCgrNz-aDmcr2uuto8_DL2jg,argentina,China
9gf3qOR-cog,UCzdrPLXroiBVnRjf1eSftsA,jervis bay,Australia
DnZ2qU4UpG4,UCIYLOcEUX6TbBo7HQVF2PKA,"sydney, australia",Australia
A5zTgVR4Ehc,UCj9y72ex6M4an8-WN__WKXg,Fraser Island Queensland,Australia
JShVFlzhoRk,UCW9vAtCH-Xg3CSbP44k92Qw,Waikiki Hawaii,United States
K5qzIkVJE58,UCnBSzeRIvizS83QWTN72oBw,Maui,United States
XhXsgDECwXg,UCVSNOxehfALut52NbkfRBaA,Peru,United States
NRffY15ScTw,UC7oDxV2GI-17LfsU31DLHbQ,Alaska,United States
_H03FqN2LgE,UC8WSpLAUfO162JWQAQBqSyw,"Isla del Caño, Costa Rica",Colombia
