videoId,channelId,user_country,encounter_loc,enc_lat,enc_long,user_lat,user_long,species
rfOi6VSfxnY,UCcZ7AsxyPn7GvXGTCbMakuQ,United States,maui,20.802956799999997,-156.31068331602177,39.7837304,-100.4458825,humpback whale
G1JC6ifb9rc,UC-k1CfsXDMcOB9XOqh0Fhfg,Switzerland,hervey bay australia,-25.2985784,152.8535216,46.7985624,8.2319736,humpback whale
41vGo7iX6IY,UCUUWDzrkuEztzddaW_sgQbA,United States,New Jersey,40.0757384,-74.4041622,39.7837304,-100.4458825,humpback whale
-goUL-IvZFU,UClQK9j4uUAnrZamq1_FhtcQ,Canada,"Bonavista, Newfoundland",48.6541763,-53.110338,61.0666922,-107.991707,humpback whale
pNsvc3QsuUw,UCYs3EodFkeYFAVjd-PHQT0w,Canada,Vancouver Island,49.592949450000006,-125.70255696124094,61.0666922,-107.991707,humpback whale
S-SiL1jn9Ho,UCYixHqQPVh0hDutTYFBBTIw,Portugal,"madeira, portugal",32.751748750000004,-16.981752048847362,40.0332629,-7.8896263,humpback whale
xyBX3ZqdUE0,UCAQpSHsgUcNt6uCOjpgD8kw,United States,Mexico,22.5000485,-100.0000375,39.7837304,-100.4458825,whale shark
5bcAF-KXpYk,UCUSQVSYVtAZhspHhLGqK-_A,Australia,Oslob,9.5212306,123.4325099,-24.7761086,134.755,whale shark
M7KvDhIGuL0,UCg6pUlin57zeWC6Y7xmBdhA,Mexico,isla mujeres,21.2321047,-86.73222812171971,22.5000485,-100.0000375,whale shark
vk9ASSGRz7c,UCEyktdIDxxqoK4bqNRpZpLg,Mexico,Mexico,22.5000485,-100.0000375,22.5000485,-100.0000375,whale shark
cXo58o_oq-8,UCwZq7eGqRMwY2gf7k9DcnXA,United Kingdom,"Donsol, Philippines",12.9077161,123.5986056,54.7023545,-3.2765753,whale shark
s6WO91bUoaM,UCl7giZXLlLIAEKV-TVoBW7Q,United States,"Oslob, Philippines",9.5212306,123.4325099,39.7837304,-100.4458825,whale shark
Y1qf-JTYuYs,UCbiyedfPmEdZwy7Q4SENKeQ,Australia,"Isla Mujeres, Mexico",21.2321047,-86.73222812171971,-24.7761086,134.755,whale shark
HHiQsDn1DiM,UCW3T8dQVEynwj6-_DArcM7w,United States,"isla mujeres, mexico",21.2321047,-86.73222812171971,39.7837304,-100.4458825,whale shark
cXo58o_oq-8,UCwZq7eGqRMwY2gf7k9DcnXA,United Kingdom,"Donsol, Philippines",12.9077161,123.5986056,54.7023545,-3.2765753,whale shark
BbMVDdDnX-c,UCoZdwUSvWcihKTaejR1KxRg,Australia,Western Australia,-25.2303005,121.0187246,-24.7761086,134.755,whale shark
dtHkJ03SYnA,UCBC1jREDv3xxMfsK_gClEzw,United States,"Isla Mujeres, Mexico",21.2321047,-86.73222812171971,39.7837304,-100.4458825,whale shark
OwBqpbdCFVk,UCntfPpoRbDhoIX774bI_fDA,Australia,"Exmouth, Western Australia",-22.292471550000002,114.1469586328106,-24.7761086,134.755,whale shark
ed5iT7zKKq4,UCb_vmkwTWjXAQKTuGw5C6-A,Romania,West Papua Indonesia,-1.3842356,132.902528,45.9852129,24.6859225,whale shark
qUqbG0xjUIw,UCjCclmiQbZY8Jap8K7hKVtA,United States,"Cozumel, Mexico",20.4320599,-86.92069058377268,39.7837304,-100.4458825,whale shark
HKEJ5_jOV3g,UC5LOl5KZGhX1oeFGMaJpXaA,United Kingdom,Philippines,12.7503486,122.7312101,54.7023545,-3.2765753,whale shark
hxdrPdD8nnA,UCTsReq5FgJVAGqsviWbSflA,United States,Philippines,12.7503486,122.7312101,39.7837304,-100.4458825,whale shark
PyfAXaNONDg,UCxbRgw_hpXYlhdVOmkxGTvA,Philippines,"OSLOB, CEBU, Philippines",9.5212306,123.4325099,12.7503486,122.7312101,whale shark
iFulTDgIIJg,UCHFudYdUGSqw2z0P3cUCDOA,United States,"La Paz, Baja California Sur",24.1422841,-110.3126162,39.7837304,-100.4458825,whale shark
qVsLC8ls4fk,UCqGc3ZMF079yv4PXVWDkBXQ,United States,Kenya,1.4419683,38.4313975,39.7837304,-100.4458825,reticulated giraffe
Q9Ups6yLmSk,UCUt1YpISvpZePTc0pAt7mHw,Kenya,"Kajiado County, Kenya",-2.12171705,36.78625503675998,1.4419683,38.4313975,plains zebra
wpuVmBmR6aU,UCgrNz-aDmcr2uuto8_DL2jg,China,South Africa,-28.8166236,24.991639,35.000074,104.999927,plains zebra
wpuVmBmR6aU,UCgrNz-aDmcr2uuto8_DL2jg,China,South Africa,-28.8166236,24.991639,35.000074,104.999927,plains zebra
